"store";"websites";"attribute_set";"type";"category_ids";"url";"entity_id";"sku";"has_options";"name";"meta_title";"meta_description";"image";"small_image";"thumbnail";"url_key";"url_path";"custom_design";"page_layout";"options_container";"image_label";"small_image_label";"thumbnail_label";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"gift_message_available";"status";"is_recurring";"visibility";"tax_class_id";"price";"special_price";"weight";"msrp";"description";"short_description";"meta_keyword";"custom_layout_update";"special_from_date";"special_to_date";"news_from_date";"news_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites";"website";"_media_image";"_media_lable";"_media_position";"_media_is_disabled"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/mokshi-casual-solid-women-s-kurti.html?___store=ge";"5";"wk002";"0";"Mokshi Casual Solid Women's Kurti";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/k/u/ku143pnk-mokshi-3xl-400x400-imaec9fpejwnvqfz.jpeg";"/k/u/ku143pnk-mokshi-l-400x400-imaec9fpecxg6ezg.jpeg";"/k/u/ku143pnk-mokshi-l-400x400-imaec9fppytfzcgm.jpeg";"mokshi-casual-solid-women-s-kurti";"mokshi-casual-solid-women-s-kurti.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"474.0000";"";"250.0000";"";"Sleeve Type: 3/4 Sleeve
Fabric: Cotton
Casual Wear
Pattern: Solid
Pack of: 1
Suitable for: Ethnic Wear";"Sleeve Type: 3/4 Sleeve
Fabric: Cotton
Casual Wear
Pattern: Solid
Pack of: 1
Suitable for: Ethnic Wear";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Mokshi Casual Solid Women's Kurti";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"wk002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/k/u/ku143pnk-mokshi-xl-400x400-imaec9fpbyh4gseh.jpeg";"";"4";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/vimalnath-synthetics-geometric-print-fashion-georgette-sari.html?___store=ge";"6";"ws001";"0";"VIMALNATH SYNTHETICS Geometric Print Fashion Georgette Sari";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekgu273ydzgyf.jpeg";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekgufrwtfhrzr.jpeg";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekguhhngxa2nx.jpeg";"vimalnath-synthetics-geometric-print-fashion-georgette-sari";"vimalnath-synthetics-geometric-print-fashion-georgette-sari.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Shipping";"332.0000";"";"250.0000";"";"Style: Half & Half Sari
Saree Fabric: Georgette
Blouse Fabric: Georgette
With Blouse Piece
Type: Fashion
Set of: 1";"Style: Half & Half Sari
Saree Fabric: Georgette
Blouse Fabric: Georgette
With Blouse Piece
Type: Fashion
Set of: 1";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"VIMALNATH SYNTHETICS Geometric Print Fashion Georgette Sari";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"ws001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/1/-/1-1-ethtdrhdhdtrhg-vimalnath-synthetics-400x400-imaekh6jjg85xved.jpeg";"";"4";"0"
"ge";"base";"Default";"simple";"3";"http://127.0.0.1/eg-egbb-30-l-backpack.html?___store=ge";"7";"mb001";"0";"EG EGBB 30 L Backpack(Blue)";"";"";"http://127.0.0.1/media/catalog/product/cache/1/image/500x/040ec09b1e35df139433887a97daa66f/e/g/egbb1-eg-backpack-egbb-400x400-imaecearathffxg8.jpeg";"/e/g/egbb1-eg-backpack-egbb-400x400-imaeeha95uguef4t.jpeg";"/e/g/egbb1-eg-backpack-egbb-400x400-imaeehatwzgm9scz.jpeg";"eg-egbb-30-l-backpack";"eg-egbb-30-l-backpack.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"399.0000";"";"300.0000";"";"For Boys, Men, Girls, Women
Capacity: 30 L
Waterproof";"For Boys, Men, Girls, Women
Capacity: 30 L
Waterproof";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"EG EGBB 30 L Backpack(Blue)";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"mb001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/e/g/egbb1-eg-backpack-egbb-400x400-imaeehatyhyyhxgv.jpeg";"";"4";"0"
"ge";"base";"Default";"simple";"4";"http://127.0.0.1/jimmy-octan-shoulder-bag.html?___store=ge";"8";"whb001";"0";"Jimmy Octan Shoulder Bag";"";"";"";"";"/j/o/jo-600-bg-104-jimmy-octan-hand-held-bag-jimmy-octan-brown-color-400x400-imaecf7s2rzrctun.jpeg";"jimmy-octan-shoulder-bag";"jimmy-octan-shoulder-bag.html";"";"No layout updates";"Product Info Column";"";"";"";"India";"Use config";"Use config";"No";"Enabled";"No";"Catalog, Search";"Taxable Goods";"339.0000";"";"350.0000";"";"For Girls
Material: PU
Closure: Zip
Casual, Evening/Party, Festive, Formal, Casual Bag";"For Girls
Material: PU
Closure: Zip
Casual, Evening/Party, Festive, Formal, Casual Bag";"";"";"";"";"";"";"";"";"100.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Jimmy Octan Shoulder Bag";"6";"simple";"1";"";"";"";"";"";""
"ge";"";"";"";"";"";"";"whb001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/o/jo-600-bg-104-jimmy-octan-hand-held-bag-jimmy-octan-brown-color-400x400-imaecf7s3hfng6k9.jpeg";"";"4";"0"
"ge";"";"";"";"";"";"";"whb001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/o/jo-600-bg-104-jimmy-octan-hand-held-bag-jimmy-octan-brown-color-400x400-imaecf7sb9fnf23n.jpeg";"";"5";"0"
"ge";"";"";"";"";"";"";"whb001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"/j/o/jo-600-bg-104-jimmy-octan-hand-held-bag-jimmy-octan-brown-color-400x400-imaecf7shvbdanbw.jpeg";"";"6";"0"
